Timestamp,CPU_Total_%,DPC_Latency_%,SSD_IOPS,RAM_HardFaults_sec,Top_Background_App,App_CPU_%
09:22:07,7.3,0.3,8,272,steamwebhelper,39
09:22:09,9.9,0,12,9,svchost,191.9
09:22:11,12.3,0.1,599,5712,steamwebhelper,26.5
09:22:13,11,0.6,414,1744,cs2,59.3
09:22:15,17.2,0.2,915,3348,cs2,73.3
09:22:17,16.4,0.4,1188,30011,cs2,106.1
09:22:19,23.1,0.8,1987,9190,searchindexer,309
09:22:21,17.2,0.3,1985,54909,cs2,323
09:22:23,41.6,0.7,1666,45071,cs2,389.9
09:22:25,52.1,2.1,1414,554,cs2,425.7
09:22:27,42,1.2,686,5066,cs2,463
09:22:29,54.7,1.9,1060,3148,cs2,472.3
09:22:31,58,1.9,1831,10606,cs2,569.2
09:22:33,46.9,1.5,74,1307,cs2,508.3
09:22:35,41.3,2,202,6516,cs2,511.6
09:22:37,47.7,1.7,380,1351,cs2,561.4
09:22:40,41.4,1.8,225,855,cs2,588.1
09:22:42,35.5,0.9,1,3,cs2,522.5
09:22:44,34,1.8,40,512,cs2,453.8
09:22:46,30.8,1.4,39,1045,cs2,427.2
09:22:48,40.9,1.6,13,286,cs2,553.3
09:22:50,40.2,1.2,27,523,cs2,468
09:22:52,36.3,1.7,27,256,cs2,488
09:22:54,38.9,1.8,63,107,cs2,474.3
09:22:56,32.2,1.5,2,0,cs2,572.3
09:22:58,38.3,1.6,19,0,cs2,461.7
09:23:00,37.3,1,33,559,cs2,426.9
09:23:02,39.6,1,8,8,cs2,446.2
09:23:04,42.5,1.6,2,0,cs2,567.4
09:23:06,40.6,0.8,15,257,cs2,467.9
09:23:08,42.7,1.6,207,0,cs2,575.1
09:23:10,43.7,0.9,138,602,cs2,514.9
09:23:12,50.5,1.4,8,8,cs2,478.9
09:23:14,35.4,1.5,21,0,cs2,522.5
09:23:16,31.8,0.9,15,14,cs2,477.2
09:23:18,39.1,0.9,9,0,cs2,549
09:23:20,40.2,1.2,87,319,cs2,667.6
09:23:22,45.1,1.9,18,1,cs2,513.1
09:23:24,31.3,1,16,0,cs2,594.2
09:23:26,31.8,1.3,8,0,cs2,385.2
09:23:28,31,0.9,3,0,cs2,456.9
09:23:30,43.2,1.5,4,0,cs2,467.7
09:23:32,46.1,1,5,0,cs2,566.3
09:23:34,38.1,1.6,4,0,cs2,560.2
09:23:37,36.7,1.6,13,256,cs2,366.6
09:23:39,30.2,1.3,16,256,cs2,433.9
09:23:41,32,1.4,8,0,cs2,482.2
09:23:43,38.3,1.6,7,0,cs2,432.3
09:23:45,35.2,2,5,0,cs2,322.9
09:23:47,35,0.7,8,0,cs2,561.4
09:23:49,36.7,1.4,3,1,cs2,559.6
09:23:51,40.3,1.9,5,0,cs2,338.5
09:23:53,32.4,1.6,6,0,cs2,528.6
09:23:55,45.1,1.1,11,0,cs2,584.8
09:23:57,46.7,1.5,1,0,cs2,593.8
09:23:59,38,1.2,4,0,cs2,517.7
09:24:01,39.3,1,0,0,cs2,519.2
09:24:03,38.2,1.9,5,2,cs2,530.4
09:24:05,39.5,1.3,17,512,cs2,421.2
09:24:07,28.5,1.5,29,768,cs2,447.7
09:24:09,41.6,1.5,36,147,cs2,544.2
09:24:11,36.2,1.6,4,0,cs2,745.1
09:24:13,43.7,2.1,2,0,cs2,682.1
09:24:15,47.7,2.1,5,7,cs2,561.6
09:24:17,41.4,2,17,332,cs2,547.4
09:24:19,39.8,1.6,5,5,cs2,438.6
09:24:21,37.3,1.7,0,2,cs2,551.8
09:24:23,37.6,1.9,5,16,cs2,401.1
09:24:25,30.3,1.7,0,0,cs2,405.2
09:24:27,31.5,1.8,32,278,cs2,411.8
09:24:29,32.6,1.4,12,0,cs2,346.3
09:24:31,38.3,1.3,13,256,cs2,386.7
09:24:33,33.1,2,3,0,cs2,276.1
09:24:36,16.7,0.7,23,512,cs2,104.5
09:24:38,7.2,0.3,18,256,cs2,48.4
09:24:40,6.9,0.2,10,3,cs2,60.8
09:24:42,12.3,0.1,0,1,amdrsserv,23.7
